timestamp,close,fill_type,is_outlier,clean_version
2010-01-01 00:00:00+00:00,0.61265,,False,1
2010-02-01 00:00:00+00:00,0.6331,,False,1
2010-03-01 00:00:00+00:00,0.64549,,False,1
2010-04-01 00:00:00+00:00,0.65592,,False,1
2010-05-01 00:00:00+00:00,0.69713,,False,1
2010-06-01 00:00:00+00:00,0.72839,,False,1
2010-07-01 00:00:00+00:00,0.73603,,False,1
2010-08-01 00:00:00+00:00,0.73296,,False,1
2010-09-01 00:00:00+00:00,0.72859,,False,1
2010-10-01 00:00:00+00:00,0.7384,,False,1
2010-11-01 00:00:00+00:00,0.73901,,False,1
2010-12-01 00:00:00+00:00,0.74962,,False,1
2011-01-01 00:00:00+00:00,0.76866,,False,1
2011-02-01 00:00:00+00:00,0.79962,,False,1
2011-03-01 00:00:00+00:00,0.80913,,False,1
2011-04-01 00:00:00+00:00,0.82096,,False,1
2011-05-01 00:00:00+00:00,0.82344,,False,1
2011-06-01 00:00:00+00:00,0.82512,,False,1
2011-07-01 00:00:00+00:00,0.8289,,False,1
2011-08-01 00:00:00+00:00,0.85782,,False,1
2011-09-01 00:00:00+00:00,0.9181,,False,1
2011-10-01 00:00:00+00:00,0.96991,,False,1
2011-11-01 00:00:00+00:00,1.01182,,False,1
2011-12-01 00:00:00+00:00,1.06148,,False,1
2012-01-01 00:00:00+00:00,1.08709,,False,1
2012-02-01 00:00:00+00:00,1.07249,,False,1
2012-03-01 00:00:00+00:00,1.03757,,False,1
2012-04-01 00:00:00+00:00,1.01792,,False,1
2012-05-01 00:00:00+00:00,1.005,,False,1
2012-06-01 00:00:00+00:00,0.94978,,False,1
2012-07-01 00:00:00+00:00,0.81735,,False,1
2012-08-01 00:00:00+00:00,0.70481,,False,1
2012-09-01 00:00:00+00:00,0.64803,,False,1
2012-10-01 00:00:00+00:00,0.54397,,False,1
2012-11-01 00:00:00+00:00,0.52452,,False,1
2012-12-01 00:00:00+00:00,0.51848,,False,1
2013-01-01 00:00:00+00:00,0.51228,,False,1
2013-02-01 00:00:00+00:00,0.50988,,False,1
2013-03-01 00:00:00+00:00,0.50688,,False,1
2013-04-01 00:00:00+00:00,0.50557,,False,1
2013-05-01 00:00:00+00:00,0.50563,,False,1
2013-06-01 00:00:00+00:00,0.50794,,False,1
2013-07-01 00:00:00+00:00,0.50944,,False,1
2013-08-01 00:00:00+00:00,0.51262,,False,1
2013-09-01 00:00:00+00:00,0.51688,,False,1
2013-10-01 00:00:00+00:00,0.51663,,False,1
2013-11-01 00:00:00+00:00,0.52344,,False,1
2013-12-01 00:00:00+00:00,0.52474,,False,1
2014-01-01 00:00:00+00:00,0.52093,,False,1
2014-02-01 00:00:00+00:00,0.52153,,False,1
2014-03-01 00:00:00+00:00,0.52157,,False,1
2014-04-01 00:00:00+00:00,0.52665,,False,1
2014-05-01 00:00:00+00:00,0.52744,,False,1
2014-06-01 00:00:00+00:00,0.54394,,False,1
2014-07-01 00:00:00+00:00,0.55641,,False,1
2014-08-01 00:00:00+00:00,0.56119,,False,1
2014-09-01 00:00:00+00:00,0.56291,,False,1
2014-10-01 00:00:00+00:00,0.55836,,False,1
2014-11-01 00:00:00+00:00,0.55628,,False,1
2014-12-01 00:00:00+00:00,0.55818,,False,1
2015-01-01 00:00:00+00:00,0.5626,,False,1
2015-02-01 00:00:00+00:00,0.56363,,False,1
2015-03-01 00:00:00+00:00,0.56436,,False,1
2015-04-01 00:00:00+00:00,0.5695,,False,1
2015-05-01 00:00:00+00:00,0.56798,,False,1
2015-06-01 00:00:00+00:00,0.57188,,False,1
2015-07-01 00:00:00+00:00,0.58084,,False,1
2015-08-01 00:00:00+00:00,0.5867,,False,1
2015-09-01 00:00:00+00:00,0.58576,,False,1
2015-10-01 00:00:00+00:00,0.58006,,False,1
2015-11-01 00:00:00+00:00,0.57371,,False,1
2015-12-01 00:00:00+00:00,0.58277,,False,1
2016-01-01 00:00:00+00:00,0.58976,,False,1
2016-02-01 00:00:00+00:00,0.59073,,False,1
2016-03-01 00:00:00+00:00,0.58825,,False,1
2016-04-01 00:00:00+00:00,0.5889,,False,1
2016-05-01 00:00:00+00:00,0.58929,,False,1
2016-06-01 00:00:00+00:00,0.57468,,False,1
2016-07-01 00:00:00+00:00,0.5136,,False,1
2016-08-01 00:00:00+00:00,0.40613,,False,1
2016-09-01 00:00:00+00:00,0.37907,,False,1
2016-10-01 00:00:00+00:00,0.3975,,False,1
2016-11-01 00:00:00+00:00,0.39773,,False,1
2016-12-01 00:00:00+00:00,0.37226,,False,1
2017-01-01 00:00:00+00:00,0.3621,,False,1
2017-02-01 00:00:00+00:00,0.35674,,False,1
2017-03-01 00:00:00+00:00,0.34567,,False,1
2017-04-01 00:00:00+00:00,0.33513,,False,1
2017-05-01 00:00:00+00:00,0.31081,,False,1
2017-06-01 00:00:00+00:00,0.29442,,False,1
2017-07-01 00:00:00+00:00,0.2931,,False,1
2017-08-01 00:00:00+00:00,0.28119,,False,1
2017-09-01 00:00:00+00:00,0.30911,,False,1
2017-10-01 00:00:00+00:00,0.38187,,False,1
2017-11-01 00:00:00+00:00,0.51857,,False,1
2017-12-01 00:00:00+00:00,0.51871,,False,1
2018-01-01 00:00:00+00:00,0.5225,,False,1
2018-02-01 00:00:00+00:00,0.54683,,False,1
2018-03-01 00:00:00+00:00,0.62842,,False,1
2018-04-01 00:00:00+00:00,0.75629,,False,1
2018-05-01 00:00:00+00:00,0.64355,,False,1
2018-06-01 00:00:00+00:00,0.63868,,False,1
2018-07-01 00:00:00+00:00,0.74619,,False,1
2018-08-01 00:00:00+00:00,0.80519,,False,1
2018-09-01 00:00:00+00:00,0.80093,,False,1
