timestamp,close,source,fill_type,is_outlier,clean_version
2010-01-04 00:00:00+00:00,31.166149139404297,yahoo,,False,1
2010-01-05 00:00:00+00:00,31.916439056396484,yahoo,,False,1
2010-01-06 00:00:00+00:00,31.6043643951416,yahoo,,False,1
2010-01-07 00:00:00+00:00,32.520633697509766,yahoo,,False,1
2010-01-08 00:00:00+00:00,32.845977783203125,yahoo,,False,1
2010-01-11 00:00:00+00:00,32.72645950317383,yahoo,,False,1
2010-01-12 00:00:00+00:00,32.19530487060547,yahoo,,False,1
2010-01-13 00:00:00+00:00,32.33474349975586,yahoo,,False,1
2010-01-14 00:00:00+00:00,32.115623474121094,yahoo,,False,1
2010-01-15 00:00:00+00:00,32.22184371948242,yahoo,,False,1
2010-01-19 00:00:00+00:00,32.74637985229492,yahoo,,False,1
2010-01-20 00:00:00+00:00,32.10232925415039,yahoo,,False,1
2010-01-21 00:00:00+00:00,31.929712295532227,yahoo,,False,1
2010-01-22 00:00:00+00:00,31.059925079345703,yahoo,,False,1
2010-01-25 00:00:00+00:00,31.146228790283203,yahoo,,False,1
2010-01-26 00:00:00+00:00,31.132944107055664,yahoo,,False,1
2010-01-27 00:00:00+00:00,31.338796615600586,yahoo,,False,1
2010-01-28 00:00:00+00:00,26.87700080871582,yahoo,,False,1
2010-01-29 00:00:00+00:00,26.020490646362305,yahoo,,False,1
2010-02-01 00:00:00+00:00,26.405582427978516,yahoo,,False,1
2010-02-02 00:00:00+00:00,26.066972732543945,yahoo,,False,1
2010-02-03 00:00:00+00:00,26.312618255615234,yahoo,,False,1
2010-02-04 00:00:00+00:00,25.343250274658203,yahoo,,False,1
2010-02-05 00:00:00+00:00,25.256940841674805,yahoo,,False,1
2010-02-08 00:00:00+00:00,24.905031204223633,yahoo,,False,1
2010-02-09 00:00:00+00:00,25.17062759399414,yahoo,,False,1
2010-02-10 00:00:00+00:00,24.851926803588867,yahoo,,False,1
2010-02-11 00:00:00+00:00,25.23702049255371,yahoo,,False,1
2010-02-12 00:00:00+00:00,25.78810691833496,yahoo,,False,1
2010-02-16 00:00:00+00:00,25.907609939575195,yahoo,,False,1
2010-02-17 00:00:00+00:00,26.179838180541992,yahoo,,False,1
2010-02-18 00:00:00+00:00,26.43214225769043,yahoo,,False,1
2010-02-19 00:00:00+00:00,26.286073684692383,yahoo,,False,1
2010-02-22 00:00:00+00:00,25.900976181030273,yahoo,,False,1
2010-02-23 00:00:00+00:00,25.588926315307617,yahoo,,False,1
2010-02-24 00:00:00+00:00,25.255481719970703,yahoo,,False,1
2010-02-25 00:00:00+00:00,24.795310974121094,yahoo,,False,1
2010-02-26 00:00:00+00:00,24.46185874938965,yahoo,,False,1
2010-03-01 00:00:00+00:00,23.714929580688477,yahoo,,False,1
